Index,d,phi,temp,baseVis,nanoVis,Ypredicted
4,33,0.276124567,20,1.0016,1.017308,1.0022846
2,21,0.2,20.87596,0.973171,1.017886,0.9486505
1,43,0.264706,20,1.0016,1.019469,1.0074804
4,29,4.5,47.50150233,0.570575,1.021768,1.1068265
2,76,0.24,20,1.0016,1.023034,1.0189644
4,33,1.702422145,25,0.89008,1.023077,1.0454838
1,36,7,61.60221,0.455331,1.025329,1.0238329
1,47,4,39.41815,0.660178,1.025557,1.0147017
1,30,0.5,24.98264,0.890435,1.029204,0.9558519
1,30,1.5,44.94792,0.596624,1.030533,0.8351438
4,11,0.156976744,20,1.0016,1.031068,1.0376757
1,32,0.55082,25,0.89008,1.032727,0.9562244
1,36,7,59.00552,0.47349,1.03273,1.0600134
1,47,1,22.33235,0.946955,1.033276,0.9791449
4,11,0.560930233,25,0.89008,1.034304,0.9800388
1,100,6,40,0.65298,1.034904,1.0943314
4,33,0.398615917,20,1.0016,1.036538,1.0133955
1,43,0.548593,20,1.0016,1.036814,1.0344802
3,12,1.85,50,0.529197,1.040146,1.0787896
1,25,1,25,0.89008,1.040434,1.056707
1,47,1,21.84418,0.957991,1.040995,0.98988515
1,100,1,22,0.95442,1.04104,1.0736961
2,21,1,27.20588,0.847154,1.042276,0.9452692
2,76,5.54,40,0.65298,1.046009,1.0899338
4,11,0.812093023,30,0.79735,1.047249,0.9689234
2,27,3.16,32.09439,0.763076,1.048265,1.0563984
1,25,1,25,0.89008,1.050789,1.056707
2,95,1.174692443,22,0.95442,1.05552,1.0814531
1,100,2,25,0.89008,1.05683,1.06084
4,11,0.399767442,20,1.0016,1.056958,1.0754715
2,27,4.369920697,32,0.76456,1.057045,1.3304423
4,33,0.562629758,20,1.0016,1.057692,1.0282731
4,29,1,22.9116309,0.934109,1.065957,1.0245267
1,43,1.998721,25,0.89008,1.066549,1.0542996
1,32,2,35,0.71932,1.069091,1.0445051
1,32,0.131148,20,1.0016,1.069091,1.0356243
1,13,2.7,62,0.45265,1.071018,1.0623059
4,33,0.81384083,20,1.0016,1.071154,1.0627722
1,43,0.978261,20,1.0016,1.073982,1.0513204
1,13,2.78,62,0.45265,1.07591,1.0883702
1,36,7,57.23757,0.486564,1.077138,1.0858692
1,28,1.989032,24,0.91073,1.079514,1.2813331
1,47,7,49.72387,0.549396,1.079588,1.1232586
1,32,1.403279,30,0.79735,1.08,1.0272614
4,29,1,22.71716691,0.938399,1.080687,1.0301689
